node_id,login,project,repository,contributions
github:laanwj,laanwj,bitcoin,bitcoin/bitcoin,7406
github:fanquake,fanquake,bitcoin,bitcoin/bitcoin,5311
anonymous:b888e4b938a2068aa93c,,bitcoin,bitcoin/bitcoin,5048
github:achow101,achow101,bitcoin,bitcoin/bitcoin,2415
github:sipa,sipa,bitcoin,bitcoin/bitcoin,2389
github:hebasto,hebasto,bitcoin,bitcoin/bitcoin,2175
anonymous:cc395444314ac976bc0b,,bitcoin,bitcoin/bitcoin,1412
github:gavinandresen,gavinandresen,bitcoin,bitcoin/bitcoin,1101
github:ryanofsky,ryanofsky,bitcoin,bitcoin/bitcoin,915
github:glozow,glozow,bitcoin,bitcoin/bitcoin,795
github:jnewbery,jnewbery,bitcoin,bitcoin/bitcoin,794
github:jonasschnelli,jonasschnelli,bitcoin,bitcoin/bitcoin,774
github:theuni,theuni,bitcoin,bitcoin/bitcoin,758
github:practicalswift,practicalswift,bitcoin,bitcoin/bitcoin,715
github:jonatack,jonatack,bitcoin,bitcoin/bitcoin,707
github:thestack,theStack,bitcoin,bitcoin/bitcoin,642
anonymous:466e4b64d67a679d8951,,bitcoin,bitcoin/bitcoin,639
github:luke-jr,luke-jr,bitcoin,bitcoin/bitcoin,533
github:dongcarl,dongcarl,bitcoin,bitcoin/bitcoin,510
github:thebluematt,TheBlueMatt,bitcoin,bitcoin/bitcoin,506
anonymous:c14e2ec93c5c2034cc3b,,bitcoin,bitcoin/bitcoin,501
github:sdaftuar,sdaftuar,bitcoin,bitcoin/bitcoin,445
github:sjors,Sjors,bitcoin,bitcoin/bitcoin,430
github:ajtowns,ajtowns,bitcoin,bitcoin/bitcoin,356
github:sedited,sedited,bitcoin,bitcoin/bitcoin,355
github:vasild,vasild,bitcoin,bitcoin/bitcoin,355
github:furszy,furszy,bitcoin,bitcoin/bitcoin,353
github:instagibbs,instagibbs,bitcoin,bitcoin/bitcoin,338
github:promag,promag,bitcoin,bitcoin/bitcoin,329
github:meshcollider,meshcollider,bitcoin,bitcoin/bitcoin,317
github:fjahr,fjahr,bitcoin,bitcoin/bitcoin,285
anonymous:b509ed9e56196e319d4c,,bitcoin,bitcoin/bitcoin,274
github:non-github-bitcoin,non-github-bitcoin,bitcoin,bitcoin/bitcoin,271
github:l0rinc,l0rinc,bitcoin,bitcoin/bitcoin,268
github:gmaxwell,gmaxwell,bitcoin,bitcoin/bitcoin,267
github:mzumsande,mzumsande,bitcoin,bitcoin/bitcoin,236
github:darosior,darosior,bitcoin,bitcoin/bitcoin,232
github:brunoerg,brunoerg,bitcoin,bitcoin/bitcoin,229
github:jamesob,jamesob,bitcoin,bitcoin/bitcoin,222
github:morcos,morcos,bitcoin,bitcoin/bitcoin,209
anonymous:390ae3311a3b7b09ec2c,,bitcoin,bitcoin/bitcoin,170
github:kallewoof,kallewoof,bitcoin,bitcoin/bitcoin,165
github:amitiuttarwar,amitiuttarwar,bitcoin,bitcoin/bitcoin,164
github:empact,Empact,bitcoin,bitcoin/bitcoin,150
anonymous:7a22baef410776355147,,bitcoin,bitcoin/bitcoin,145
github:jtimon,jtimon,bitcoin,bitcoin/bitcoin,141
github:stickies-v,stickies-v,bitcoin,bitcoin/bitcoin,135
github:dergoegge,dergoegge,bitcoin,bitcoin/bitcoin,134
github:hodlinator,hodlinator,bitcoin,bitcoin/bitcoin,127
github:willcl-ark,willcl-ark,bitcoin,bitcoin/bitcoin,121
github:paveljanik,paveljanik,bitcoin,bitcoin/bitcoin,109
github:petertodd,petertodd,bitcoin,bitcoin/bitcoin,106
github:ken2812221,ken2812221,bitcoin,bitcoin/bitcoin,105
github:ismaelsadeeq,ismaelsadeeq,bitcoin,bitcoin/bitcoin,101
github:andrewtoth,andrewtoth,bitcoin,bitcoin/bitcoin,93
github:stratospher,stratospher,bitcoin,bitcoin/bitcoin,91
github:w0xlt,w0xlt,bitcoin,bitcoin/bitcoin,83
github:pinheadmz,pinheadmz,bitcoin,bitcoin/bitcoin,82
anonymous:654eac718b89b288abb3,,bitcoin,bitcoin/bitcoin,81
github:davidgumberg,davidgumberg,bitcoin,bitcoin/bitcoin,76
github:cozz,cozz,bitcoin,bitcoin/bitcoin,70
github:josibake,josibake,bitcoin,bitcoin/bitcoin,68
anonymous:e1169b2685b7886eb32a,,bitcoin,bitcoin/bitcoin,67
github:murchandamus,murchandamus,bitcoin,bitcoin/bitcoin,67
github:jeremyrubin,JeremyRubin,bitcoin,bitcoin/bitcoin,60
github:domob1812,domob1812,bitcoin,bitcoin/bitcoin,58
github:rkrux,rkrux,bitcoin,bitcoin/bitcoin,58
github:s3rk,S3RK,bitcoin,bitcoin/bitcoin,58
github:marcofleon,marcofleon,bitcoin,bitcoin/bitcoin,56
github:0xb10c,0xB10C,bitcoin,bitcoin/bitcoin,51
github:martinus,martinus,bitcoin,bitcoin/bitcoin,51
github:jimpo,jimpo,bitcoin,bitcoin/bitcoin,50
github:sipsorcery,sipsorcery,bitcoin,bitcoin/bitcoin,46
github:tdb3,tdb3,bitcoin,bitcoin/bitcoin,44
anonymous:52d99887382c2b03c5f6,,bitcoin,bitcoin/bitcoin,43
github:naumenkogs,naumenkogs,bitcoin,bitcoin/bitcoin,42
github:kiminuo,kiminuo,bitcoin,bitcoin/bitcoin,40
anonymous:a436f837953491a24a1d,,bitcoin,bitcoin/bitcoin,38
github:ishaanam,ishaanam,bitcoin,bitcoin/bitcoin,38
github:kevkevinpal,kevkevinpal,bitcoin,bitcoin/bitcoin,38
github:crypt-iq,Crypt-iQ,bitcoin,bitcoin/bitcoin,36
github:jarolrod,jarolrod,bitcoin,bitcoin/bitcoin,36
github:rebroad,rebroad,bitcoin,bitcoin/bitcoin,36
github:aureleoules,aureleoules,bitcoin,bitcoin/bitcoin,35
github:nicolasdorier,NicolasDorier,bitcoin,bitcoin/bitcoin,35
github:muggenhor,muggenhor,bitcoin,bitcoin/bitcoin,34
github:pablomartin4btc,pablomartin4btc,bitcoin,bitcoin/bitcoin,34
anonymous:572fb97d10bf269a74f6,,bitcoin,bitcoin/bitcoin,32
github:btcdrak,btcdrak,bitcoin,bitcoin/bitcoin,32
github:codeshark,CodeShark,bitcoin,bitcoin/bitcoin,32
anonymous:8c18c5210501f50c1134,,bitcoin,bitcoin/bitcoin,31
github:dooglus,dooglus,bitcoin,bitcoin/bitcoin,31
github:jl2012,jl2012,bitcoin,bitcoin/bitcoin,30
github:m3dwards,m3dwards,bitcoin,bitcoin/bitcoin,28
github:sr-gi,sr-gi,bitcoin,bitcoin/bitcoin,28
github:dhruv,dhruv,bitcoin,bitcoin/bitcoin,27
github:gwillen,gwillen,bitcoin,bitcoin/bitcoin,27
github:mjdietzx,mjdietzx,bitcoin,bitcoin/bitcoin,27
github:kazcw,kazcw,bitcoin,bitcoin/bitcoin,25
github:john-moffett,john-moffett,bitcoin,bitcoin/bitcoin,24
github:kristapsk,kristapsk,bitcoin,bitcoin/bitcoin,23
anonymous:e213f6363e8660e9beba,,bitcoin,bitcoin/bitcoin,22
github:dexx7,dexX7,bitcoin,bitcoin/bitcoin,22
github:eklitzke,eklitzke,bitcoin,bitcoin/bitcoin,22
github:romanz,romanz,bitcoin,bitcoin/bitcoin,22
github:troygiorshev,troygiorshev,bitcoin,bitcoin/bitcoin,22
anonymous:7afd0392f75d55a7403a,,bitcoin,bitcoin/bitcoin,20
github:icota,icota,bitcoin,bitcoin/bitcoin,20
github:mruddy,mruddy,bitcoin,bitcoin/bitcoin,20
anonymous:65209f17c35c03ffede5,,bitcoin,bitcoin/bitcoin,19
anonymous:a01b903bc1be4b45827a,,bitcoin,bitcoin/bitcoin,19
github:dgenr8,dgenr8,bitcoin,bitcoin/bitcoin,19
github:wtogami,wtogami,bitcoin,bitcoin/bitcoin,19
anonymous:483f230bcf2eba5c338b,,bitcoin,bitcoin/bitcoin,18
github:rodentrabies,rodentrabies,bitcoin,bitcoin/bitcoin,18
anonymous:d0351e70baba431e0f03,,bitcoin,bitcoin/bitcoin,17
github:akionak,AkioNak,bitcoin,bitcoin/bitcoin,17
github:benthecarman,benthecarman,bitcoin,bitcoin/bitcoin,17
github:harding,harding,bitcoin,bitcoin/bitcoin,17
github:mrbandrews,mrbandrews,bitcoin,bitcoin/bitcoin,17
github:cvengler,cvengler,bitcoin,bitcoin/bitcoin,16
github:danra,danra,bitcoin,bitcoin/bitcoin,16
github:jb55,jb55,bitcoin,bitcoin/bitcoin,16
github:klementtan,klementtan,bitcoin,bitcoin/bitcoin,16
github:maaku,maaku,bitcoin,bitcoin/bitcoin,16
github:polespinasa,polespinasa,bitcoin,bitcoin/bitcoin,16
github:prusnak,prusnak,bitcoin,bitcoin/bitcoin,16
github:sdkfjlsfjlskdfjlsdjflsjf,sdkfjlsfjlskdfjlsdjflsjf,bitcoin,bitcoin/bitcoin,16
github:super3,super3,bitcoin,bitcoin/bitcoin,16
github:bitcoin-core-merge-script,bitcoin-core-merge-script,bitcoin,bitcoin/bitcoin,15
github:bushstar,Bushstar,bitcoin,bitcoin/bitcoin,15
github:casey,casey,bitcoin,bitcoin/bitcoin,15
github:danielabrozzoni,danielabrozzoni,bitcoin,bitcoin/bitcoin,15
github:elichai,elichai,bitcoin,bitcoin/bitcoin,15
github:kdomanski,kdomanski,bitcoin,bitcoin/bitcoin,15
github:l2a5b1,l2a5b1,bitcoin,bitcoin/bitcoin,15
github:larryruane,LarryRuane,bitcoin,bitcoin/bitcoin,15
github:scravy,scravy,bitcoin,bitcoin/bitcoin,15
github:skeees,skeees,bitcoin,bitcoin/bitcoin,15
anonymous:10fe53124875c10ffccd,,bitcoin,bitcoin/bitcoin,14
github:adamjonas,adamjonas,bitcoin,bitcoin/bitcoin,14
github:brakmic,brakmic,bitcoin,bitcoin/bitcoin,14
github:brandonodiwuor,BrandonOdiwuor,bitcoin,bitcoin/bitcoin,14
github:jimmysong,jimmysong,bitcoin,bitcoin/bitcoin,14
github:n-thumann,n-thumann,bitcoin,bitcoin/bitcoin,14
github:eniks,ENikS,bitcoin,bitcoin/bitcoin,13
github:jkczyz,jkczyz,bitcoin,bitcoin/bitcoin,13
github:naiyoma,naiyoma,bitcoin,bitcoin/bitcoin,13
github:randymcmillan,RandyMcMillan,bitcoin,bitcoin/bitcoin,13
github:str4d,str4d,bitcoin,bitcoin/bitcoin,13
github:christewart,Christewart,bitcoin,bitcoin/bitcoin,12
github:ethanheilman,EthanHeilman,bitcoin,bitcoin/bitcoin,12
github:jachiang,jachiang,bitcoin,bitcoin/bitcoin,12
github:tjps,tjps,bitcoin,bitcoin/bitcoin,12
anonymous:76af5c27b9c4cd6a04f4,,bitcoin,bitcoin/bitcoin,11
anonymous:813e46d17cd3aa71e856,,bitcoin,bitcoin/bitcoin,11
github:ch4ot1c,ch4ot1c,bitcoin,bitcoin/bitcoin,11
github:lsilva01,lsilva01,bitcoin,bitcoin/bitcoin,11
anonymous:cc18098dadedce79f3eb,,bitcoin,bitcoin/bitcoin,10
github:codler,codler,bitcoin,bitcoin/bitcoin,10
github:eunovo,Eunovo,bitcoin,bitcoin/bitcoin,10
github:jeremyrand,JeremyRand,bitcoin,bitcoin/bitcoin,10
github:jlopp,jlopp,bitcoin,bitcoin/bitcoin,10
github:kvaciral,Kvaciral,bitcoin,bitcoin/bitcoin,10
github:lucash-dev,lucash-dev,bitcoin,bitcoin/bitcoin,10
github:merland,merland,bitcoin,bitcoin/bitcoin,10
github:mess110,mess110,bitcoin,bitcoin/bitcoin,10
github:optout21,optout21,bitcoin,bitcoin/bitcoin,10
github:purplekarrot,purpleKarrot,bitcoin,bitcoin/bitcoin,10
github:real-or-random,real-or-random,bitcoin,bitcoin/bitcoin,10
github:shaavan,shaavan,bitcoin,bitcoin/bitcoin,10
github:wizeman,wizeman,bitcoin,bitcoin/bitcoin,10
github:conscott,conscott,bitcoin,bitcoin/bitcoin,9
github:frankomosh,frankomosh,bitcoin,bitcoin/bitcoin,9
github:jmcorgan,jmcorgan,bitcoin,bitcoin/bitcoin,9
github:maflcko,maflcko,bitcoin,bitcoin/bitcoin,9
github:marnixcroes,MarnixCroes,bitcoin,bitcoin/bitcoin,9
github:philmb3487,philmb3487,bitcoin,bitcoin/bitcoin,9
github:recursive-rat4,recursive-rat4,bitcoin,bitcoin/bitcoin,9
github:roques,roques,bitcoin,bitcoin/bitcoin,9
github:yancyribbens,yancyribbens,bitcoin,bitcoin/bitcoin,9
github:yuvicc,yuvicc,bitcoin,bitcoin/bitcoin,9
anonymous:57abdc00e18585fe5207,,bitcoin,bitcoin/bitcoin,8
anonymous:87cea3a0662fc2fd758f,,bitcoin,bitcoin/bitcoin,8
anonymous:f651f36f41e2cd3fbca2,,bitcoin,bitcoin/bitcoin,8
github:ajweiss,ajweiss,bitcoin,bitcoin/bitcoin,8
github:isle2983,isle2983,bitcoin,bitcoin/bitcoin,8
github:jgarzik,jgarzik,bitcoin,bitcoin/bitcoin,8
github:jordanlewis,jordanlewis,bitcoin,bitcoin/bitcoin,8
github:joshtriplett,joshtriplett,bitcoin,bitcoin/bitcoin,8
github:marcohextor,marcohextor,bitcoin,bitcoin/bitcoin,8
github:narula,narula,bitcoin,bitcoin/bitcoin,8
github:pastapastapasta,PastaPastaPasta,bitcoin,bitcoin/bitcoin,8
github:pierrerochard,PierreRochard,bitcoin,bitcoin/bitcoin,8
github:schildbach,schildbach,bitcoin,bitcoin/bitcoin,8
github:stevenroose,stevenroose,bitcoin,bitcoin/bitcoin,8
github:udjinm6,UdjinM6,bitcoin,bitcoin/bitcoin,8
anonymous:6a0510016d02c061153a,,bitcoin,bitcoin/bitcoin,7
anonymous:77c84409a422ff9913c3,,bitcoin,bitcoin/bitcoin,7
anonymous:900f3930d40fe923ae47,,bitcoin,bitcoin/bitcoin,7
anonymous:97b64c3a6c516a7307e4,,bitcoin,bitcoin/bitcoin,7
anonymous:e45b474347083d14892a,,bitcoin,bitcoin/bitcoin,7
github:alfonsoromanz,alfonsoromanz,bitcoin,bitcoin/bitcoin,7
github:amadeuszpawlik,amadeuszpawlik,bitcoin,bitcoin/bitcoin,7
github:ariard,ariard,bitcoin,bitcoin/bitcoin,7
github:billymcbip,billymcbip,bitcoin,bitcoin/bitcoin,7
github:celil-kj,celil-kj,bitcoin,bitcoin/bitcoin,7
github:dougefresh,dougEfresh,bitcoin,bitcoin/bitcoin,7
github:droark,droark,bitcoin,bitcoin/bitcoin,7
github:eval-exec,eval-exec,bitcoin,bitcoin/bitcoin,7
github:forrestv,forrestv,bitcoin,bitcoin/bitcoin,7
github:freewil,freewil,bitcoin,bitcoin/bitcoin,7
