node_id,login,name,account_type,is_bot,is_anonymous,github_id,profile_url,avatar_url,projects,repositories,repository_count,total_contributions,bitcoin_contributions,ethereum_contributions,solana_contributions,following_status,following_count_visible
github:00nktk,00nktk,,User,False,False,22844465,https://github.com/00nktk,https://avatars.githubusercontent.com/u/22844465?v=4,solana,anza-xyz/agave|solana-labs/solana,2,4,0,0,4,complete,6
github:0x0ece,0x0ece,,User,False,False,1491992,https://github.com/0x0ece,https://avatars.githubusercontent.com/u/1491992?v=4,solana,anza-xyz/agave,1,6,0,0,6,complete,94
github:0xaguspunk,0xaguspunk,,User,False,False,6149085,https://github.com/0xaguspunk,https://avatars.githubusercontent.com/u/6149085?v=4,ethereum,ethereum/go-ethereum,1,1,0,1,0,complete,17
github:0xalpharush,0xalpharush,,User,False,False,87383155,https://github.com/0xalpharush,https://avatars.githubusercontent.com/u/87383155?v=4,solana,anza-xyz/agave,1,2,0,0,2,complete,225
github:0xb10c,0xB10C,,User,False,False,19157360,https://github.com/0xB10C,https://avatars.githubusercontent.com/u/19157360?v=4,bitcoin,bitcoin/bitcoin,1,51,51,0,0,complete,135
github:0xbeny,0xbeny,,User,False,False,55846654,https://github.com/0xbeny,https://avatars.githubusercontent.com/u/55846654?v=4,ethereum,ethereum/go-ethereum,1,1,0,1,0,complete,80
github:0xc1c4da,0xc1c4da,,User,False,False,2714786,https://github.com/0xc1c4da,https://avatars.githubusercontent.com/u/2714786?v=4,ethereum,ethereum/go-ethereum,1,5,0,5,0,unavailable,0
github:0xcharry,0xcharry,,User,False,False,202512346,https://github.com/0xcharry,https://avatars.githubusercontent.com/u/202512346?v=4,ethereum,ethereum/go-ethereum,1,1,0,1,0,unavailable,0
github:0xcryptosheik,0xCryptoSheik,,User,False,False,93099369,https://github.com/0xCryptoSheik,https://avatars.githubusercontent.com/u/93099369?v=4,solana,anza-xyz/agave|solana-labs/solana,2,4,0,0,4,complete,1
github:0xe3b0c4,0xe3b0c4,,User,False,False,110295932,https://github.com/0xe3b0c4,https://avatars.githubusercontent.com/u/110295932?v=4,ethereum,ethereum/go-ethereum,1,1,0,1,0,unavailable,0
github:0xedgar,0xEdgar,,User,False,False,13364236,https://github.com/0xEdgar,https://avatars.githubusercontent.com/u/13364236?v=4,solana,anza-xyz/agave|solana-labs/solana,2,10,0,0,10,complete,45
github:0xjvn,0xjvn,,User,False,False,210174082,https://github.com/0xjvn,https://avatars.githubusercontent.com/u/210174082?v=4,ethereum,ethereum/go-ethereum,1,7,0,7,0,complete,21
github:0xkardashev,0xkardashev,,User,False,False,96332127,https://github.com/0xkardashev,https://avatars.githubusercontent.com/u/96332127?v=4,solana,solana-labs/solana,1,1,0,0,1,complete,1
github:0xmavi,0xMavi,,User,False,False,190375655,https://github.com/0xMavi,https://avatars.githubusercontent.com/u/190375655?v=4,solana,anza-xyz/agave,1,1,0,0,1,complete,0
github:0xmountaintop,0xmountaintop,,User,False,False,37070449,https://github.com/0xmountaintop,https://avatars.githubusercontent.com/u/37070449?v=4,ethereum,ethereum/go-ethereum,1,4,0,4,0,complete,118
github:0xnineteen,0xNineteen,,User,False,False,100000306,https://github.com/0xNineteen,https://avatars.githubusercontent.com/u/100000306?v=4,solana,anza-xyz/agave|solana-labs/solana,2,4,0,0,4,complete,197
github:0xplish,0xPlish,,User,False,False,160436514,https://github.com/0xPlish,https://avatars.githubusercontent.com/u/160436514?v=4,solana,anza-xyz/agave,1,1,0,0,1,complete,2
github:0xripleys,0xripleys,,User,False,False,105607696,https://github.com/0xripleys,https://avatars.githubusercontent.com/u/105607696?v=4,solana,anza-xyz/agave|solana-labs/solana,2,4,0,0,4,complete,4
github:0xxfloki,0xxFloki,,User,False,False,202491525,https://github.com/0xxFloki,https://avatars.githubusercontent.com/u/202491525?v=4,ethereum,ethereum/go-ethereum,1,2,0,2,0,unavailable,0
github:1033309821,1033309821,,User,False,False,28942895,https://github.com/1033309821,https://avatars.githubusercontent.com/u/28942895?v=4,ethereum,ethereum/go-ethereum,1,1,0,1,0,complete,32
github:10gic,10gic,,User,False,False,2391796,https://github.com/10gic,https://avatars.githubusercontent.com/u/2391796?v=4,ethereum,ethereum/go-ethereum,1,2,0,2,0,complete,0
github:10xcryptodev,10xcryptodev,,User,False,False,63932478,https://github.com/10xcryptodev,https://avatars.githubusercontent.com/u/63932478?v=4,bitcoin,bitcoin/bitcoin,1,3,3,0,0,complete,37
github:2501babe,2501babe,,User,False,False,81144685,https://github.com/2501babe,https://avatars.githubusercontent.com/u/81144685?v=4,solana,anza-xyz/agave|solana-labs/solana,2,95,0,0,95,complete,14
github:4406arthur,4406arthur,,User,False,False,5071988,https://github.com/4406arthur,https://avatars.githubusercontent.com/u/5071988?v=4,solana,anza-xyz/agave,1,1,0,0,1,complete,30
github:4r33x,4r33x,,User,False,False,20604101,https://github.com/4r33x,https://avatars.githubusercontent.com/u/20604101?v=4,solana,anza-xyz/agave,1,3,0,0,3,complete,2
