node_id,login,status,pages,following_count_visible,error,fetched_at
github:00nktk,00nktk,complete,1,6,,2026-06-07T13:45:42.153716+00:00
github:0x0ece,0x0ece,complete,2,94,,2026-06-07T13:47:03.184965+00:00
github:0xaguspunk,0xaguspunk,complete,1,17,,2026-06-07T13:44:10.910507+00:00
github:0xalpharush,0xalpharush,complete,5,225,,2026-06-07T13:47:22.982278+00:00
github:0xb10c,0xB10C,complete,3,135,,2026-06-07T13:35:50.296987+00:00
github:0xbeny,0xbeny,complete,3,80,,2026-06-07T13:44:09.927931+00:00
github:0xc1c4da,0xc1c4da,unavailable,1,0,GitHub no expone la pestaña pública de following,2026-06-07T13:41:44.302162+00:00
github:0xcharry,0xcharry,unavailable,1,0,GitHub no expone la pestaña pública de following,2026-06-07T13:44:07.334545+00:00
github:0xcryptosheik,0xCryptoSheik,complete,1,1,,2026-06-07T13:45:39.706245+00:00
github:0xe3b0c4,0xe3b0c4,unavailable,1,0,GitHub no expone la pestaña pública de following,2026-06-07T13:44:06.045048+00:00
github:0xedgar,0xEdgar,complete,1,45,,2026-06-07T13:44:56.426394+00:00
github:0xjvn,0xjvn,complete,1,21,,2026-06-07T13:41:25.767848+00:00
github:0xkardashev,0xkardashev,complete,1,1,,2026-06-07T13:46:45.543662+00:00
github:0xmavi,0xMavi,complete,1,0,,2026-06-07T13:47:32.426123+00:00
github:0xmountaintop,0xmountaintop,complete,3,118,,2026-06-07T13:42:03.744796+00:00
github:0xnineteen,0xNineteen,complete,5,197,,2026-06-07T13:45:34.703796+00:00
github:0xplish,0xPlish,complete,1,2,,2026-06-07T13:47:32.230240+00:00
github:0xripleys,0xripleys,complete,1,4,,2026-06-07T13:45:39.242598+00:00
github:0xxfloki,0xxFloki,unavailable,1,0,GitHub no expone la pestaña pública de following,2026-06-07T13:42:42.754260+00:00
github:1033309821,1033309821,complete,1,32,,2026-06-07T13:44:08.638357+00:00
github:10gic,10gic,complete,1,0,,2026-06-07T13:43:38.298274+00:00
github:10xcryptodev,10xcryptodev,complete,1,37,,2026-06-07T13:39:30.387862+00:00
github:2501babe,2501babe,complete,1,14,,2026-06-07T13:44:39.986035+00:00
github:4406arthur,4406arthur,complete,1,30,,2026-06-07T13:47:33.926879+00:00
github:4r33x,4r33x,complete,1,2,,2026-06-07T13:47:14.150473+00:00
