posicion,empresa,puntos,posicion_anterior
1,INDITEX,10000,1
2,MERCADONA,9116,2
3,GRUPO SOCIAL ONCE,8819,3
4,REPSOL,7978,4
5,IBERDROLA,7974,9
6,COCA-COLA,7613,5
7,BBVA,7584,11
8,CAIXABANK,7565,13
9,SANTANDER,7481,8
10,MAPFRE,7266,6
11,MAHOU SAN MIGUEL,7261,14
12,IKEA,7254,7
13,TELEFÓNICA,6971,10
14,CORPORACIÓN HIJOS DE RIVERA,6952,21
15,NESTLÉ,6950,12
16,EL CORTE INGLÉS,6929,16
17,LEROY MERLIN,6910,17
18,CAMPOFRÍO-SIGMA,6869,20
19,MUTUA MADRILEÑA,6842,15
20,HEINEKEN,6817,18
21,MELIÁ HOTELS INTERNATIONAL,6809,22
22,DANONE,6286,25
23,CLÍNICA UNIVERSIDAD DE NAVARRA,6269,26
24,ENDESA,6243,30
25,MOEVE,6211,34
26,SIEMENS,6157,27
27,HP,6138,31
28,SEAT,6134,19
29,DECATHLON,6127,23
30,ING,6047,32
31,SANITAS,6038,28
32,PASCUAL,6033,24
33,BANKINTER,6031,35
34,MANGO,6021,51
35,BAYER,6019,46
36,ALSA,5890,47
37,NATURGY,5873,44
38,SAMSUNG,5866,52
39,CAPSA-Central Lechera Asturiana,5841,37
40,TOYOTA,5837,41
41,BANCO SABADELL,5828,40
42,ELPOZO-GRUPO FUERTES,5813,48
43,CARREFOUR,5699,43
44,EROSKI,5687,53
45,ACCIONA,5641,56
46,MICROSOFT,5566,38
47,GRUPO QUIRÓNSALUD,5562,39
48,LIDL,5556,61
49,GOOGLE,5548,33
50,MINOR HOTELS EUROPE & AMERICAS,5526,29
51,AENA,5471,54
52,P&G,5423,45
53,AMAZON,5394,49
54,BMW,5303,50
55,DAMM,5282,42
56,LÍNEA DIRECTA,5265,55
57,SANTALUCÍA SEGUROS,5235,66
58,APPLE,5233,36
59,PEPSICO,5174,86
60,ESIC UNIVERSITY,5173,71
61,DELOITTE,5119,65
62,MERCEDES-BENZ,5089,59
63,ESADE,4986,58
64,FERROVIAL,4946,64
65,RENFE,4924,60
66,DKV SEGUROS,4915,63
